Name,Last Name,Firstst Name,Fights,Strikes,Total Strike Accuracy,Take Down,Take Down Accuracy,Knock Down,pass,Reversal,Substitution
"St-Pierre, Georges",St-Pierre,Georges,22,2591,67.50%,90,73.80%,9,119,5,3
"Fitch, Jon",Fitch,Jon,18,2185,74.70%,58,54.70%,2,44,3,3
"Edgar, Frankie",Edgar,Frankie,26,2099,48.20%,67,33.80%,3,48,3,2
"Johnson, Demetrious",Johnson,Demetrious,18,1956,64.60%,74,54.80%,3,65,3,5
"Bisping, Michael",Bisping,Michael,30,1935,42.30%,26,43.30%,8,15,2,0
"Diaz, Nate",Diaz,Nate,23,1926,53.80%,17,26.20%,3,15,6,9
"Penn, BJ",Penn,BJ,27,1816,63.90%,26,57.80%,7,44,1,4
"Leben, Chris",Leben,Chris,22,1791,67.90%,17,45.90%,5,22,0,2
"Dos Anjos, Rafael",Dos Anjos,Rafael,26,1767,53.20%,45,40.20%,5,39,2,3
"Elkins, Darren",Elkins,Darren,20,1739,54.40%,42,35.90%,2,40,1,1
"Holloway, Max",Holloway,Max,20,1694,48.40%,5,100.00%,8,17,0,2
"Lentz, Nik",Lentz,Nik,22,1690,63.70%,61,35.30%,2,52,1,2
"Ortiz, Tito",Ortiz,Tito,27,1675,66.10%,58,44.60%,2,26,0,2
"Diaz, Nick",Diaz,Nick,14,1616,59.60%,14,35.00%,3,9,4,2
"Siver, Dennis",Siver,Dennis,22,1594,45.20%,13,32.50%,7,32,5,2
"Dunham, Evan",Dunham,Evan,22,1587,44.70%,28,33.30%,2,18,1,1
"Maia, Demian",Maia,Demian,29,1569,60.20%,60,25.20%,1,87,5,9
"Lytle, Chris",Lytle,Chris,20,1533,58.80%,9,50.00%,2,15,9,6
"Jedrzejczyk, Joanna",Jedrzejczyk,Joanna,12,1521,49.20%,1,50.00%,1,0,0,0
"Couture, Randy",Couture,Randy,24,1494,72.50%,52,50.00%,1,49,2,4
"Condit, Carlos",Condit,Carlos,16,1476,52.00%,7,50.00%,5,27,8,0
"Sonnen, Chael",Sonnen,Chael,14,1467,69.70%,37,53.60%,0,32,1,2
"Velasquez, Cain",Velasquez,Cain,16,1446,69.50%,34,43.60%,9,30,0,0
"Jones, Jon",Jones,Jon,20,1431,60.00%,37,48.10%,5,29,0,5
"Andrade, Jessica",Andrade,Jessica,14,1424,58.60%,33,58.90%,2,34,1,2
"Stephens, Jeremy",Stephens,Jeremy,30,1422,47.20%,21,32.80%,18,6,7,0
"Riddle, Matthew",Riddle,Matthew,12,1350,63.30%,39,50.00%,0,41,1,0
"Pearson, Ross",Pearson,Ross,25,1347,44.60%,15,36.60%,6,3,1,0
"Guida, Clay",Guida,Clay,26,1346,45.10%,60,36.80%,5,50,1,4
"Dillashaw, TJ",Dillashaw,TJ,17,1340,47.40%,21,37.50%,9,28,0,1
"Poirier, Dustin",Poirier,Dustin,21,1314,53.40%,24,41.40%,11,15,4,3
"Henderson, Benson",Henderson,Benson,15,1291,55.80%,32,49.20%,3,23,1,2
"Miller, Jim",Miller,Jim,31,1289,48.70%,36,41.40%,3,43,5,7
"Story, Rick",Story,Rick,20,1284,51.20%,37,48.70%,5,28,5,2
"Alves, Thiago",Alves,Thiago,27,1280,47.10%,13,68.40%,13,23,2,1
"Cerrone, Donald",Cerrone,Donald,30,1278,51.60%,16,27.10%,17,25,3,6
"Sanchez, Diego",Sanchez,Diego,29,1275,42.90%,31,20.30%,6,42,3,0
"McGee, Court",McGee,Court,14,1274,43.90%,25,24.80%,1,21,1,2
"Sherk, Sean",Sherk,Sean,12,1274,60.50%,50,44.20%,0,47,3,1
"Lawler, Robbie",Lawler,Robbie,20,1224,51.10%,16,76.20%,9,11,3,0
"Brown, Matt",Brown,Matt,27,1219,61.80%,23,46.00%,9,16,4,2
"Miocic, Stipe",Miocic,Stipe,15,1219,62.20%,24,38.10%,5,20,0,0
"Stout, Sam",Stout,Sam,20,1207,32.70%,10,38.50%,3,9,1,0
"Masvidal, Jorge",Masvidal,Jorge,16,1185,56.00%,15,51.70%,5,12,1,1
"Herman, Ed",Herman,Ed,21,1181,63.60%,32,51.60%,3,36,5,4
"Bermudez, Dennis",Bermudez,Dennis,17,1169,57.70%,42,38.50%,5,28,3,2
"Swanson, Cub",Swanson,Cub,16,1169,54.70%,11,57.90%,6,14,1,0
"Cormier, Daniel",Cormier,Daniel,14,1158,63.90%,21,46.70%,2,28,0,4
"Kim, Dong Hyun",Kim,Dong Hyun,20,1158,69.90%,39,43.80%,4,45,2,1
"Means, Tim",Means,Tim,19,1145,51.50%,10,50.00%,7,8,2,1
"Danzig, Mac",Danzig,Mac,13,1123,66.90%,12,37.50%,3,20,3,2
"Rua, Mauricio",Rua,Mauricio,21,1108,61.40%,24,42.90%,14,23,0,0
"Caceres, Alex",Caceres,Alex,20,1106,53.10%,9,75.00%,3,21,10,2
"Okami, Yushin",Okami,Yushin,21,1100,55.20%,33,37.90%,4,67,0,0
"Werdum, Fabricio",Werdum,Fabricio,16,1096,61.40%,12,25.50%,4,22,2,3
"Griffin, Forrest",Griffin,Forrest,15,1096,43.20%,10,43.50%,1,15,3,2
"Franklin, Rich",Franklin,Rich,20,1090,48.90%,14,63.60%,10,21,3,1
"Cote, Patrick",Cote,Patrick,21,1080,59.00%,10,19.60%,6,18,4,0
"Fisher, Spencer",Fisher,Spencer,17,1066,54.80%,9,30.00%,3,19,2,2
"Anderson, Corey",Anderson,Corey,13,1066,54.90%,52,50.00%,0,34,0,0
"Dos Santos, Junior",Dos Santos,Junior,18,1062,49.80%,4,50.00%,11,3,0,0
"Hathaway, John",Hathaway,John,10,1062,59.70%,21,43.80%,2,16,1,0
"Lineker, John",Lineker,John,17,1049,43.40%,6,60.00%,12,4,1,1
"Johnson, Michael",Johnson,Michael,21,1036,39.40%,9,45.00%,9,0,3,0
"Barao, Renan",Barao,Renan,16,1035,41.40%,22,44.00%,4,14,0,3
"Ortiz, Dustin",Ortiz,Dustin,14,1031,60.80%,32,36.00%,2,29,10,0
"Kongo, Cheick",Kongo,Cheick,18,1025,69.50%,24,63.20%,4,12,3,0
